MEMM,training,test
19,0.205012325,0.055172414
18,0.177624924,0.027906977
17,0.233061224,0.027131783
16,0.2027886,0.014234875
15,0.180367603,0.009661836
14,0.182538071,0.051502146
13,0.206960082,0.043956044
12,0.181948718,0.056537102
11,0.180608748,0.015228426
10,0.18170581,0.026315789
9,0.17482088,0.051282051
8,0.199317543,0.034090909
7,0.191949838,0.074766355
6,0.231632653,0.031007752
5,0.200124044,0.043613707
4,0.177498972,0.016891892
3,0.181744586,0.046082949
2,0.197766497,0.021459227
1,0.175681255,0.006369427
0,0.195539955,0.041269841
,,
avg,0.192934616,0.034724075
,,
,,
,,
avg from data,0.192924634,0.034703373
